time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
2889,0.01,49,58,336,240.07462686567163,2.1492537313432836,0.0002,672,0.005492027848958969
2909,0.01,50,58,340,239.19117647058823,2.1176470588235294,0.0002,677,0.0036966134794056416
2970,0.01,51,58,344,239.19117647058823,2.1176470588235294,0.0002,692,0.007771333213895559
2999,0.01,51,58,348,240.6086956521739,2.1449275362318843,0.0002,699,0.005784050561487675
3042,0.01,52,57,352,240.34285714285716,2.142857142857143,0.0002,710,0.016523700207471848
3062,0.01,52,57,356,240.54929577464787,2.140845070422535,0.0002,715,0.02182886190712452
3082,0.01,53,57,360,239.70833333333334,2.111111111111111,0.0002,720,0.01441306434571743
3120,0.01,53,57,364,239.70833333333334,2.111111111111111,0.0002,729,0.00575769180431962
3187,0.01,55,57,368,240.1095890410959,2.1232876712328768,0.0002,746,0.02007259801030159
3250,0.01,56,57,372,242.48648648648648,2.175675675675676,0.0002,762,0.009301753714680672
3278,0.01,56,57,376,243.4,2.2,0.0002,769,0.012406197376549244
3307,0.01,57,57,380,242.93421052631578,2.1842105263157894,0.0002,776,0.008035815320909023
3332,0.01,57,57,384,242.93421052631578,2.1842105263157894,0.0002,782,0.006490672007203102
3413,0.01,59,57,388,244.23376623376623,2.220779220779221,0.0002,803,0.006947257090359926
3442,0.01,59,57,392,244.3846153846154,2.217948717948718,0.0002,810,0.002685453975573182
3497,0.01,60,57,396,244.68354430379748,2.2278481012658227,0.0002,824,0.015761245042085648
3525,0.01,61,57,400,244.9375,2.2375,0.0002,831,0.006985440384596586
3564,0.01,61,57,404,244.9375,2.2375,0.0002,840,0.00325710023753345
3584,0.01,62,57,408,244.98765432098764,2.234567901234568,0.0002,845,0.010674376040697098
3620,0.01,63,57,412,244.20731707317074,2.207317073170732,0.0002,854,0.012251852080225945
3650,0.01,63,57,416,244.67469879518072,2.216867469879518,0.0002,862,0.013116935268044472
3688,0.01,64,57,420,244.58333333333334,2.2142857142857144,0.0002,871,0.005432420875877142
3725,0.01,64,57,424,244.58333333333334,2.2142857142857144,0.0002,881,0.00990487914532423
3745,0.01,65,57,428,244.35294117647058,2.211764705882353,0.0002,886,0.0025802452582865953
3774,0.01,65,57,432,243.80232558139534,2.197674418604651,0.0002,893,0.0069354260340332985
3794,0.01,66,57,436,243.05747126436782,2.1724137931034484,0.0002,898,0.012038078159093857
3814,0.01,66,57,440,242.2840909090909,2.147727272727273,0.0002,903,0.004901653155684471
3843,0.01,67,57,444,242.2840909090909,2.147727272727273,0.0002,910,0.0012266798876225948
