time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
9,252,232,2108,0.6266755555555555,1.84,235.44,0.02087307721376419,0.0006,26
9,256,230,2126,0.6251955555555557,1.803921568627451,234.15686274509804,0.04769086837768555,0.0006,31
9,260,229,2157,0.6226466666666668,1.7884615384615385,234.0,0.01951359212398529,0.0006,39
9,264,228,2193,0.6196866666666668,1.7884615384615385,234.0,0.0018660547211766243,0.0006,48
9,268,228,2229,0.6167266666666666,1.7924528301886793,234.0188679245283,0.0006058081053197384,0.0006,57
10,272,227,2284,0.6122044444444443,1.8333333333333333,235.5185185185185,0.02161339297890663,0.0006,70
10,276,226,2322,0.60908,1.8181818181818181,234.85454545454544,0.03788066282868385,0.0006,80
10,280,225,2352,0.6066133333333333,1.8392857142857142,235.58928571428572,0.028541751205921173,0.0006,87
10,284,224,2381,0.6042288888888888,1.8392857142857142,235.58928571428572,0.03775783255696297,0.0006,95
10,288,223,2401,0.6025844444444446,1.8245614035087718,235.05263157894737,0.022143883630633354,0.0006,100
10,292,222,2439,0.5994599999999999,1.8103448275862069,234.5,0.021283306181430817,0.0006,109
11,296,221,2479,0.5961711111111111,1.8135593220338984,234.3728813559322,0.001001685275696218,0.0006,119
11,300,220,2499,0.5945266666666666,1.8,234.21666666666667,0.01012155320495367,0.0006,124
11,304,219,2517,0.5930466666666667,1.8,234.21666666666667,0.010994147509336472,0.0006,129
11,308,218,2546,0.5906622222222223,1.7704918032786885,232.9016393442623,0.040034543722867966,0.0006,136
11,312,218,2582,0.5877022222222223,1.7580645161290323,232.5483870967742,0.040481291711330414,0.0006,145
11,316,217,2602,0.5860577777777778,1.7619047619047619,232.61904761904762,0.03042159043252468,0.0006,150
12,320,216,2651,0.5820288888888888,1.78125,233.296875,0.020502863451838493,0.0006,162
12,324,216,2687,0.5790688888888889,1.78125,233.296875,0.0019522737711668015,0.0006,171
12,328,215,2719,0.5764377777777778,1.7846153846153847,233.04615384615386,0.0193914994597435,0.0006,179
12,332,215,2736,0.5750400000000002,1.7878787878787878,232.8939393939394,0.02007213607430458,0.0006,183
12,336,214,2785,0.5710111111111111,1.7761194029850746,232.50746268656715,0.010419822297990322,0.0006,196
13,340,213,2815,0.5685444444444445,1.7941176470588236,233.38235294117646,0.019956311210989952,0.0006,203
13,344,213,2844,0.56616,1.7941176470588236,233.38235294117646,0.010574866086244583,0.0006,210
13,348,213,2904,0.5612266666666668,1.8115942028985508,234.42028985507247,0.0006768185994587839,0.0006,225
13,352,212,2924,0.5595822222222222,1.8142857142857143,234.35714285714286,0.003648854326456785,0.0006,230
14,356,211,2972,0.5556355555555557,1.8309859154929577,235.2112676056338,0.008087827824056149,0.0006,242
14,360,211,3033,0.5506200000000001,1.8611111111111112,236.72222222222223,0.014697233214974403,0.0006,258
14,364,211,3089,0.5460155555555557,1.8611111111111112,236.72222222222223,0.005628622602671385,0.0006,272
14,368,210,3120,0.5434666666666668,1.8904109589041096,237.75342465753425,0.017737966030836105,0.0006,279
14,372,210,3150,0.541,1.8918918918918919,238.22972972972974,0.008188074454665184,0.0006,287
15,376,209,3179,0.5386155555555556,1.88,237.81333333333333,0.01661369949579239,0.0006,294
15,380,209,3199,0.5369711111111111,1.855263157894737,236.9078947368421,0.006574532017111778,0.0006,299
15,384,208,3235,0.5340111111111112,1.855263157894737,236.9078947368421,0.02506611868739128,0.0006,308
15,388,208,3264,0.5316266666666667,1.8571428571428572,236.76623376623377,0.018359560519456863,0.0006,315
15,392,208,3282,0.5301466666666668,1.8461538461538463,236.39743589743588,0.024795319885015488,0.0006,320
15,396,207,3320,0.5270222222222223,1.8481012658227849,236.29113924050634,0.016994433477520943,0.0006,329
16,400,207,3398,0.520608888888889,1.9,238.25,0.007948058657348156,0.0006,349
16,404,206,3432,0.5178133333333332,1.9,238.25,0.017986945807933807,0.0006,357
16,408,206,3468,0.5148533333333333,1.9012345679012346,238.1358024691358,0.0020002673845738173,0.0006,366
16,412,205,3495,0.5126333333333333,1.9024390243902438,238.21951219512195,0.0034943378996104,0.0006,373
17,416,205,3551,0.5080288888888891,1.927710843373494,239.56626506024097,0.004006335511803627,0.0006,387
17,420,205,3599,0.5040822222222223,1.9404761904761905,240.01190476190476,0.009068128652870655,0.0006,399
17,424,204,3643,0.5004644444444446,1.9404761904761905,240.01190476190476,0.014181548729538918,0.0006,410
18,428,204,3713,0.49470888888888886,1.9529411764705882,240.16470588235293,0.012015173211693764,0.0006,428
18,432,204,3733,0.4930644444444443,1.9883720930232558,241.53488372093022,0.01525078620761633,0.0006,433
18,436,203,3771,0.48994,1.9885057471264367,241.67816091954023,0.006999210920184851,0.0006,442
18,440,203,3805,0.48714444444444444,1.9886363636363635,241.5909090909091,0.0026068557053804398,0.0006,451
18,444,203,3839,0.4843488888888889,1.9886363636363635,241.5909090909091,0.011767524294555187,0.0006,459
19,448,203,3871,0.4817177777777778,2.0,241.82022471910113,0.0012479068245738745,0.0006,467
19,452,202,3891,0.4800733333333333,1.9777777777777779,240.92222222222222,0.010851070284843445,0.0006,472
19,456,202,3929,0.4769488888888889,1.978021978021978,240.87912087912088,0.00797208957374096,0.0006,482
19,460,202,3967,0.4738244444444445,1.9782608695652173,240.81521739130434,0.00863274559378624,0.0006,491
19,464,202,3987,0.47218,1.9782608695652173,240.81521739130434,0.0017174159875139594,0.0006,496
19,468,201,4007,0.4705355555555557,1.956989247311828,240.0215053763441,0.012287192046642303,0.0006,501
19,472,201,4025,0.4690555555555556,1.9361702127659575,239.22340425531914,0.01276650931686163,0.0006,506
20,476,201,4079,0.46461555555555556,1.9157894736842105,238.31578947368422,0.01649547927081585,0.0006,519
20,480,201,4111,0.4619844444444445,1.9479166666666667,239.54166666666666,0.006424920167773962,0.0006,527
20,484,201,4149,0.45886000000000005,1.9479166666666667,239.54166666666666,0.0069574229419231415,0.0006,537
20,488,200,4169,0.45721555555555554,1.9484536082474226,239.5463917525773,0.005423495080322027,0.0006,542
21,492,200,4211,0.4537622222222223,1.9285714285714286,238.89795918367346,0.022457240149378777,0.0006,552
21,496,200,4241,0.45129555555555567,1.9393939393939394,239.5252525252525,0.02311970852315426,0.0006,560
21,500,199,4261,0.4496511111111111,1.92,238.94,0.014860108494758606,0.0006,565
21,504,199,4309,0.4457044444444446,1.92,238.94,0.01871486008167267,0.0006,577
21,508,199,4345,0.4427444444444444,1.91,238.69,0.007654593326151371,0.0006,586
21,512,199,4365,0.4411000000000001,1.91,238.5,0.0038780372124165297,0.0006,591
22,516,198,4396,0.4385511111111112,1.92,238.9,0.0034730813931673765,0.0006,598
22,520,198,4432,0.43559111111111126,1.93,239.05,0.009544557891786098,0.0006,607
22,524,198,4452,0.43394666666666676,1.93,239.05,0.016686968505382538,0.0006,612
22,528,198,4470,0.43246666666666667,1.91,238.76,0.009817074984312057,0.0006,617
22,532,197,4497,0.4302466666666666,1.9,238.43,0.009311804547905922,0.0006,624
22,536,197,4526,0.4278622222222222,1.9,238.36,0.004111628048121929,0.0006,631
23,540,197,4542,0.42654666666666674,1.89,237.82,0.00614900141954422,0.0006,635
23,544,197,4578,0.4235866666666665,1.89,237.82,0.0072725373320281506,0.0006,644
23,548,197,4616,0.4204622222222222,1.91,238.64,0.0042207930237054825,0.0006,653
23,552,196,4647,0.41791333333333325,1.93,239.46,0.006380617618560791,0.0006,661
23,556,196,4696,0.41388444444444455,1.94,239.84,0.016394183039665222,0.0006,673
23,560,196,4714,0.41240444444444446,1.92,238.99,0.007452464662492275,0.0006,678
24,564,196,4734,0.4107600000000002,1.92,238.99,0.007021402940154076,0.0006,683
24,568,196,4770,0.4078,1.94,239.74,0.01419803500175476,0.0006,692
24,572,195,4824,0.4033599999999999,1.9,238.13,0.027137868106365204,0.0006,705
24,576,195,4864,0.4000711111111111,1.95,239.82,0.016376568004488945,0.0006,715
25,580,195,4902,0.3969466666666667,1.95,239.63,0.01559448055922985,0.0006,725
25,584,195,4938,0.39398666666666676,1.95,239.63,0.008465050719678402,0.0006,734
25,588,194,4978,0.390697777777778,1.95,239.76,0.02484053187072277,0.0006,744
25,592,194,5013,0.38782,1.97,240.49,0.004128602333366871,0.0006,753
25,596,194,5027,0.386668888888889,1.93,238.45,0.013306713663041592,0.0006,756
26,600,194,5054,0.38444888888888895,1.92,238.12,0.0208196472376585,0.0006,763
26,604,193,5070,0.38313333333333327,1.92,238.12,0.00547591969370842,0.0006,767
26,608,193,5114,0.3795155555555556,1.88,236.6,0.0034232432954013348,0.0006,778
26,612,193,5134,0.3778711111111111,1.89,237.03,0.010632073506712914,0.0006,783
26,616,193,5190,0.37326666666666664,1.91,237.76,0.010270180180668831,0.0006,797
27,620,193,5258,0.3676755555555556,1.93,239.16,0.0043070362880826,0.0006,814
27,624,193,5296,0.3645511111111112,1.93,239.16,0.014526675455272198,0.0006,823
27,628,192,5334,0.3614266666666668,1.95,239.94,0.004811207763850689,0.0006,833
27,632,192,5378,0.35780888888888884,1.97,240.72,0.020292799919843674,0.0006,844
28,636,192,5414,0.35484888888888894,1.98,241.04,0.030354347079992294,0.0006,853
28,640,192,5453,0.3516422222222223,1.97,240.74,0.023267142474651337,0.0006,863
28,644,192,5513,0.34670888888888896,1.97,240.74,0.03379456698894501,0.0006,878
28,648,192,5538,0.3446533333333334,2.01,242.24,0.023259034380316734,0.0006,884
29,652,191,5574,0.34169333333333346,2.0,241.31,0.013338263146579266,0.0006,893
29,656,191,5604,0.3392266666666668,2.01,241.81,0.009145008400082588,0.0006,900
29,660,191,5631,0.33700666666666673,1.99,240.94,0.009361919946968555,0.0006,907
29,664,191,5658,0.33478666666666673,1.99,240.94,0.020282652229070663,0.0006,914
29,668,191,5696,0.3316622222222223,1.98,240.54,0.004436046816408634,0.0006,923
29,672,191,5726,0.3291955555555557,2.0,241.4,0.011284399777650833,0.0006,931
